Natural de Uba - Bairro;Como voce avalia sua saude mental nas ultimas 4 semanas 0-10
Ponte Preta;0
Ponte Preta;8
Ponte Preta;10
Ponte Preta;7
Caxanga;6
Meu Sonho;10
Ponte Preta;5
Ponte Preta;10
São João;10
Ponte Preta;
Ponte Preta;
Centro;8
Noeme Batalha;6
São Jose;7
Peluso;7
Córrego Santana;8
Olaria;4
Centro;3
Triângulo;8
Sta. Bernadete;6
Louriçal;5
Louriçal;5
Santana;10
Sta. Bernadete;6
Centro;4
Vila Casal;9
São Domingos;5
Cohab;7
Jardim Glória;5
São Joao;5
Sta. Edwirges;3
Primavera;4
Shangrilá;8
Sta. Bernadete;3
Ponte Preta;5
Centro;1
Mateus Schetino;4
Cibraci;3
Mangueira Rural;8
São Domingos;2
Cohab;0
Centro;0
Cibraci;
Eudorado;4
Loriçal;3
Sant. Luzia;
Centro;2
Cachanga;1
Loriçal;6
Pires da Luz;7
Palmeiras;5
vila casal;4
centro;3
cibraci;8
areoporto;9
palmeiras;4
industrial;3
vale do ipe;2
talma;1
santa luzia;5
triangulo;3
mangueira rural;4
cohab;2
jardin gloria;8
meu sonho;3
bom pastor;4
centro;7
peluso;5
santa bernadete;2
centro;3
santa bernadete;1
eldorado;0
santa terezinha;1
mangueira rural;2
santa bernadete;3
centro;4
centro;5
pires da luz;6
santo antonio;8
santa luzia;10
vila casal;9
santa rosa;3
santa cruz;2
sao joao;8
vila casal;0
palmeiras;0
shiavon;4
ines gropo;2
sao domingos;3
cohab;1
mangueira rural;7
shangrilá;6
santa bernadete;5
centro;8
louriçal;4
santa bernadete;9
bom pastor;7
chiquito gazola;5
eldorado;6
sao domingo;3
sao joao;4
sao joao;2
centro;4
centro;1
cibraci;3
cibraci;9
santa cruz;1
eldorado;2
talma;4
centro;5
industrial;9
fazendinha;9
peluso;8
agroceles;4
sao domingos;3
santa cruz;2
ligação;8
bairro da luz;9
vila casal;4
lava pes;2
snt.ailice;3
derminas;4
snt.edwirges;2
citta lucca;10
louriçal;9
boa vista;3
primavera;2
ines gropo;7
dico teixeira;5
centro;9
centro;3
mateus schettino;2
derminas;1
meu sonho;0
waldemar de castro;9
loriçal;7
mateus schettino;3
sao joao;2
waldemar de castro;2
palmeiras;1
palmeiras;0
chiquito gazolla;2
santa edwirges;1
agroceles;4
agroceres;6
santa luzia;8
santa luzia;7
palmeiras;6
santa edwirges;3
santa edwirges;2
vila casal;1
ines gropo;9
mangueira rural;4
mangueira rural;6
ponte preta;8
vila casal;6
aeroporto;7
vila casal;4
cohab;3
ines groppo;2
santana;1
cristo redentor;0
shangrilá;8
cibraci;4
cohab;3
sao domingos;2
centro;1
zona rural;9
sao sebastião;7
sao sebastiao;8
sao domingos;6
vila casal;6
sao domingos;3
zona rural;6
pires da luz;5
palmeiras;1
boa vista;0
cibraci;4
bom pastor;3
peluso;2
pires da luz;1
santa edwerges;0
agroceres;8
sao sebastiao;6
solar;4
