Natural de Uba - Bairro;Voce tem orgulho de ser ubaense 0-10;Como voce avalia sua saude mental nas ultimas 4 semanas 0-10;
Ponte Preta;7;0;
Ponte Preta;7;8;
Ponte Preta;8;10;
Ponte Preta;8;7;
Caxanga;5;6;
Meu Sonho;10;10;
Ponte Preta;6;5;
Ponte Preta;10;10;
São João;6;10;
Ponte Preta;5;
Ponte Preta;7;;
Centro;6;8;
Noeme Batalha;8;6;
São Jose;5;7;
Peluso;5;7;
Córrego Santana;8;8;
Olaria;7;4;
Centro;5;3;
Triângulo;5;8;
Sta. Bernadete;7;6;
Louriçal;5;5;
Louriçal;6;5;
Santana;10;10;
Sta. Bernadete;8;6;
Centro;5;4;
Vila Casal;10;9;
São Domingos;7;5;
Cohab;7;7;
Jardim Glória;10;5;
São Joao;6;5;
Sta. Edwirges;10;3;
Primavera;8;4;
Shangrilá;10;8;
Sta. Bernadete;10;3;
Ponte Preta;8;5;
Centro;10;1;
Mateus Schetino;8;4;
Cibraci;10;3;
Mangueira Rural;5;8;
São Domingos;6;2;
Cohab;10;0;
Centro;9;0;
Cibraci;5;;
Eudorado;6;4;
Loriçal;4;3;
Sant. Luzia;10;
Centro;7;2;
Cachanga;6;1;
Loriçal;9;6;
Pires da Luz;5;7;
Palmeiras;7;5;
vila casal;4;4;
centro;4;3;
cibraci;8;8;
areoporto;3;9;
palmeiras;9;4;
industrial;5;3;
vale do ipe;7;2;
talma;5;1;
santa luzia;7;5;
triangulo;9;3;
mangueira rural;6;4;
cohab;7;2;
jardin gloria;8;8;
meu sonho;10;3;
bom pastor;10;4;
centro;7;7;
peluso;6;5;
santa bernadete;5;2;
centro;10;3;
santa bernadete;8;1;
eldorado;7;0;
santa terezinha;7;1;
mangueira rural;10;2;
santa bernadete;7;3;
centro;5;4;
centro;4;5;
pires da luz;5;6;
santo antonio;6;8;
santa luzia;7;10;
vila casal;9;9;
santa rosa;4;3;
santa cruz;10;2;
sao joao;7;8;
vila casal;4;0;
palmeiras;10;0;
shiavon;6;4;
ines gropo;10;2;
sao domingos;7;3;
cohab;2;1;
mangueira rural;10;7;
shangrilá;8;6;
santa bernadete;5;5;
centro;8;8;
louriçal;5;4;
santa bernadete;0;9;
bom pastor;0;7;
chiquito gazola;2;5;
eldorado;5;6;
sao domingo;8;3;
sao joao;8;4;
sao joao;5;2;
centro;8;4;
centro;10;1;
cibraci;8;3;
cibraci;5;9;
santa cruz;10;1;
eldorado;6;2;
talma;9;4;
centro;5;5;
industrial;10;9;
fazendinha;0;9;
peluso;9;8;
agroceles;7;4;
sao domingos;7;3;
santa cruz;4;2;
ligação;6;8;
bairro da luz;9;9;
vila casal;7;4;
lava pes;5;2;
snt.ailice;5;3;
derminas;10;4;
snt.edwirges;8;2;
citta lucca;8;10;
louriçal;10;9;
boa vista;4;3;
primavera;9;2;
ines gropo;7;7;
dico teixeira;10;5;
centro;10;9;
centro;4;3;
mateus schettino;10;2;
derminas;9;1;
meu sonho;8;0;
waldemar de castro;8;9;
loriçal;9;7;
mateus schettino;5;3;
sao joao;7;2;
waldemar de castro;8;2;
palmeiras;10;1;
palmeiras;5;0;
chiquito gazolla;10;2;
santa edwirges;8;1;
agroceles;9;4;
agroceres;10;6;
santa luzia;6;8;
santa luzia;8;7;
palmeiras;9;6;
santa edwirges;9;3;
santa edwirges;9;2;
vila casal;7;1;
ines gropo;10;9;
mangueira rural;8;4;
mangueira rural;5;6;
ponte preta;8;8;
vila casal;9;6;
aeroporto;6;7;
vila casal;10;4;
cohab;10;3;
ines groppo;10;2;
santana;9;1;
cristo redentor;7;0;
shangrilá;10;8;
cibraci;10;4;
cohab;9;3;
sao domingos;5;2;
centro;7;1;
zona rural;10;9;
sao sebastião;3;7;
sao sebastiao;7;8;
sao domingos;6;6;
vila casal;4;6;
sao domingos;1;3;
zona rural;5;6;
pires da luz;3;5;
palmeiras;2;1;
boa vista;6;0;
cibraci;6;4;
bom pastor;8;3;
peluso;7;2;
pires da luz;4;1;
santa edwerges;7;0;
agroceres;7;8;
sao sebastiao;7;6;
solar;6;4;
